age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
36,0.7364,83089,0.0114,3,0.468,0.066,0.4152,0.8616,0.6798,7298,0,40,0.0219,1
35,0.0874,256992,0.0114,3,0.468,0.1046,0.0468,0.8616,0.3202,0,0,15,0.0219,0
45,0.0664,170099,0.0349,12,0.468,0.0441,0.4152,0.8616,0.6798,0,0,40,0.9153,0
26,0.7364,94652,0.2159,10,0.3235,0.1355,0.149,0.0105,0.6798,0,0,40,0.9153,0
41,0.0408,180272,0.0533,14,0.3235,0.1303,0.149,0.8616,0.3202,0,0,35,0.9153,0
29,0.7364,132675,0.0352,7,0.033,0.1046,0.149,0.092,0.3202,0,0,40,0.9153,0
36,0.7364,150057,0.165,13,0.468,0.1303,0.4152,0.8616,0.6798,0,0,50,0.9153,1
33,0.7364,169879,0.165,13,0.468,0.1303,0.4152,0.8616,0.6798,3103,0,47,0.9153,1
25,0.7364,167031,0.2159,10,0.3235,0.1046,0.027,0.0087,0.3202,0,0,25,0.0012,0
37,0.7364,227545,0.2159,10,0.468,0.1187,0.4152,0.8616,0.6798,0,0,44,0.9153,1
30,0.7364,302473,0.3251,9,0.3235,0.12,0.149,0.8616,0.3202,0,0,40,0.9153,0
38,0.7364,35890,0.3251,9,0.468,0.0531,0.4152,0.8616,0.6798,0,0,40,0.9153,0
64,0.7364,321166,0.165,13,0.1372,0.1187,0.2579,0.8616,0.3202,0,0,5,0.9153,0
58,0.7364,141379,0.3251,9,0.1372,0.12,0.2579,0.8616,0.3202,0,0,42,0.9153,0
62,0.7364,345780,0.0459,11,0.1372,0.1046,0.2579,0.8616,0.6798,0,0,40,0.9153,0
40,0.0874,238574,0.0175,15,0.468,0.1303,0.4152,0.8616,0.6798,0,0,55,0.9153,1
22,0.7364,318915,0.3251,9,0.3235,0.1046,0.1041,0.8616,0.3202,0,0,40,0.9153,0
18,0.7364,148644,0.3251,9,0.3235,0.1187,0.149,0.8616,0.3202,0,0,28,0.9153,0
26,0.7364,86483,0.0264,6,0.1372,0.1046,0.2579,0.8616,0.3202,0,0,40,0.9153,0
57,0.0664,44273,0.3251,9,0.026,0.0531,0.2579,0.8616,0.3202,0,0,40,0.9153,0
36,0.7364,211022,0.0459,11,0.1372,0.1303,0.2579,0.8616,0.6798,0,0,40,0.9153,1
18,0.7364,122988,0.3251,9,0.3235,0.0441,0.149,0.8616,0.6798,0,0,20,0.9153,0
44,0.0664,185267,0.165,13,0.468,0.1303,0.4152,0.8616,0.6798,0,1902,40,0.9153,1
34,0.7364,209691,0.0459,11,0.468,0.1303,0.4152,0.8616,0.6798,4386,0,50,0.9153,1
33,0.0664,217304,0.165,13,0.3235,0.12,0.2579,0.092,0.6798,0,0,40,0.9153,0
42,0.7364,116649,0.0459,11,0.468,0.066,0.4152,0.8616,0.6798,0,0,40,0.9153,0
43,0.0319,114537,0.165,13,0.468,0.1303,0.4152,0.8616,0.6798,0,0,40,0.9153,0
61,0.7364,146788,0.0208,4,0.468,0.0531,0.4152,0.8616,0.6798,0,0,40,0.9153,0
33,0.7364,246038,0.165,13,0.468,0.1303,0.4152,0.8616,0.6798,0,0,40,0.9153,1
42,0.7364,179533,0.3251,9,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,1
38,0.0664,105161,0.165,13,0.468,0.1303,0.4152,0.8616,0.6798,0,0,30,0.9153,0
31,0.7364,197886,0.165,13,0.468,0.1358,0.4152,0.8616,0.6798,0,0,50,0.9153,1
21,0.7364,179720,0.3251,9,0.3235,0.1046,0.027,0.8616,0.3202,0,0,30,0.9153,0
19,0.7364,148644,0.3251,9,0.3235,0.12,0.149,0.8616,0.3202,0,0,40,0.9153,0
54,0.7364,161691,0.0533,14,0.1372,0.1303,0.2579,0.8616,0.3202,0,2559,40,0.9153,1
33,0.7364,301867,0.2159,10,0.3235,0.12,0.1041,0.0272,0.3202,0,0,35,0.9153,0
27,0.0874,334132,0.0349,12,0.3235,0.1303,0.2579,0.8616,0.3202,0,0,78,0.9153,0
38,0.0874,342635,0.165,13,0.468,0.1303,0.4152,0.8616,0.6798,0,0,70,0.9153,0
24,0.0874,236769,0.0208,4,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,0
18,0.0664,28357,0.3251,9,0.3235,0.12,0.149,0.8616,0.3202,0,0,40,0.9153,0
25,0.7364,339324,0.165,13,0.3235,0.0322,0.2579,0.8616,0.6798,0,0,40,0.9153,0
45,0.0664,235431,0.3251,9,0.033,0.1046,0.1041,0.092,0.3202,0,0,40,0.9153,0
31,0.7364,369825,0.165,13,0.3235,0.1187,0.2579,0.8616,0.6798,4101,0,50,0.9153,0
21,0.7364,83704,0.0135,8,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,0
28,0.7364,212091,0.3251,9,0.468,0.066,0.4152,0.8616,0.6798,2580,0,40,0.9153,0
17,0.7364,147069,0.0352,7,0.3235,0.1046,0.149,0.8616,0.3202,0,0,16,0.9153,0
57,0.7364,266189,0.3251,9,0.1372,0.12,0.1041,0.8616,0.3202,0,0,42,0.9153,0
40,0.0367,115411,0.0349,12,0.468,0.1358,0.4152,0.8616,0.6798,0,0,65,0.9153,1
68,0.0874,150904,0.3251,9,0.026,0.1355,0.2579,0.8616,0.3202,0,0,35,0.9153,0
37,0.7364,359001,0.0459,11,0.468,0.0531,0.4152,0.8616,0.6798,15024,0,50,0.9153,1
23,0.7364,114939,0.2159,10,0.3235,0.1187,0.2579,0.8616,0.3202,0,0,38,0.9153,0
27,0.7364,216479,0.165,13,0.3235,0.1187,0.2579,0.8616,0.3202,0,0,40,0.9153,0
23,0.7364,393248,0.2159,10,0.3235,0.12,0.149,0.8616,0.6798,0,0,40,0.9153,0
36,0.0319,128884,0.3251,9,0.1372,0.12,0.2579,0.8616,0.3202,0,0,48,0.9153,0
24,0.7364,88824,0.165,13,0.3235,0.0322,0.2579,0.8616,0.6798,0,0,40,0.9153,0
29,0.7364,202878,0.0208,4,0.468,0.0339,0.4152,0.8616,0.6798,0,2042,40,0.9153,0
34,0.7364,163110,0.165,13,0.468,0.1355,0.4152,0.8616,0.6798,0,0,45,0.9153,1
46,0.7364,411595,0.0114,3,0.026,0.066,0.1041,0.8616,0.3202,0,0,40,0.0219,0
43,0.7364,75742,0.2159,10,0.468,0.0531,0.4152,0.8616,0.6798,0,0,45,0.9153,0
49,0.7364,118520,0.3251,9,0.1372,0.12,0.2579,0.8616,0.3202,0,0,45,0.9153,0
22,0.7364,202125,0.3251,9,0.468,0.1187,0.4152,0.8616,0.6798,0,0,50,0.9153,0
27,0.7364,256764,0.0349,12,0.3235,0.1187,0.2579,0.8616,0.6798,0,0,40,0.9153,0
43,0.0319,190020,0.0175,15,0.468,0.1358,0.4152,0.8616,0.6798,0,0,60,0.9153,0
35,0.0874,61343,0.3251,9,0.468,0.1355,0.4152,0.8616,0.6798,0,0,90,0.9153,0
50,0.0408,229272,0.3251,9,0.468,0.1355,0.4152,0.092,0.6798,0,0,40,0.9153,1
62,0.7364,113080,0.0208,4,0.1372,0.1355,0.149,0.8616,0.6798,0,0,40,0.9153,0
32,0.7364,180603,0.165,13,0.468,0.1187,0.4152,0.8616,0.6798,0,0,40,0.9153,1
42,0.0367,130126,0.165,13,0.468,0.1303,0.4152,0.8616,0.6798,0,1977,40,0.9153,1
46,0.7364,76131,0.0114,3,0.468,0.1046,0.0468,0.0272,0.3202,0,0,40,0.007,1
40,0.0874,145441,0.2159,10,0.1372,0.1358,0.1041,0.8616,0.6798,0,0,30,0.9153,0
32,0.7364,264554,0.2159,10,0.468,0.0322,0.4152,0.8616,0.6798,0,0,40,0.9153,1
29,0.7364,301031,0.3251,9,0.468,0.0531,0.4152,0.092,0.6798,0,0,40,0.9153,0
30,0.7364,139838,0.0264,6,0.033,0.1046,0.2579,0.092,0.6798,0,0,40,0.9153,0
52,0.0367,230919,0.165,13,0.468,0.1187,0.4152,0.8616,0.6798,0,0,60,0.9153,1
20,0.0319,55233,0.2159,10,0.3235,0.12,0.027,0.8616,0.3202,0,0,40,0.9153,0
30,0.7364,218551,0.0459,11,0.468,0.1187,0.4152,0.8616,0.6798,0,0,45,0.9153,1
22,0.7364,73203,0.3251,9,0.3235,0.12,0.149,0.8616,0.3202,0,0,40,0.9153,0
29,0.0367,446724,0.165,13,0.468,0.1358,0.4152,0.8616,0.6798,0,0,35,0.9153,0
50,0.0319,183611,0.2159,10,0.3235,0.12,0.2579,0.8616,0.6798,0,0,40,0.9153,0
42,0.0319,214838,0.3251,9,0.468,0.0322,0.4152,0.8616,0.6798,0,0,30,0.9153,1
52,0.7364,230657,0.3251,9,0.468,0.066,0.4152,0.0087,0.6798,3781,0,40,0.0021,0
61,0.7364,221534,0.3251,9,0.1372,0.066,0.149,0.8616,0.3202,0,0,40,0.9153,0
33,0.0874,177828,0.3251,9,0.1372,0.1355,0.2579,0.8616,0.6798,0,0,50,0.9153,0
48,0.0664,27802,0.0533,14,0.033,0.1303,0.2579,0.8616,0.6798,0,1876,50,0.9153,0
46,0.7364,102852,0.0208,4,0.1372,0.1046,0.2579,0.8616,0.3202,0,0,40,0.9153,0
61,0.0408,186451,0.0175,15,0.468,0.1303,0.4152,0.8616,0.6798,0,1902,40,0.9153,1
34,0.7364,338416,0.0264,6,0.1372,0.066,0.2579,0.092,0.6798,0,0,60,0.9153,0
23,0.7364,239577,0.2159,10,0.3235,0.1303,0.149,0.8616,0.6798,0,0,52,0.9153,0
41,0.7364,99665,0.0155,5,0.468,0.0322,0.0468,0.8616,0.3202,0,0,80,0.9153,0
35,0.7364,35945,0.165,13,0.468,0.1358,0.4152,0.8616,0.6798,0,0,40,0.9153,1
18,0.7364,219404,0.0114,3,0.3235,0.0339,0.2579,0.8616,0.6798,0,0,48,0.0219,0
40,0.0874,145246,0.2159,10,0.1372,0.1303,0.149,0.8616,0.6798,0,0,40,0.9153,0
55,0.0319,145401,0.165,13,0.468,0.1358,0.4152,0.8616,0.6798,0,0,40,0.9153,1
40,0.7364,264663,0.165,13,0.3235,0.1303,0.149,0.8616,0.3202,0,0,60,0.9153,0
33,0.7364,207301,0.0349,12,0.1372,0.1358,0.149,0.8616,0.3202,0,0,40,0.9153,0
55,0.7364,72812,0.3251,9,0.033,0.1187,0.2579,0.8616,0.6798,0,0,36,0.9153,0
24,0.7364,68577,0.0459,11,0.468,0.0531,0.4152,0.8616,0.6798,0,0,40,0.9153,0
71,0.7364,101577,0.3251,9,0.1372,0.12,0.2579,0.0272,0.3202,0,1668,20,0.9153,0
45,0.0664,125933,0.2159,10,0.1372,0.12,0.1041,0.092,0.3202,0,0,40,0.9153,0
49,0.0319,193998,0.2159,10,0.3235,0.1355,0.2579,0.092,0.6798,0,0,40,0.9153,0
21,0.7364,197050,0.2159,10,0.3235,0.1046,0.149,0.8616,0.3202,0,0,35,0.9153,0
25,0.7364,122999,0.3251,9,0.3235,0.1355,0.149,0.8616,0.6798,0,0,40,0.9153,0
52,0.7364,201783,0.2159,10,0.468,0.1358,0.4152,0.8616,0.6798,7688,0,40,0.9153,1
50,0.0408,392668,0.0116,16,0.468,0.1303,0.4152,0.8616,0.6798,0,0,40,0.9153,1
18,0.0408,109445,0.3251,9,0.3235,0.1046,0.149,0.8616,0.6798,0,0,25,0.9153,0
49,0.0874,43348,0.0116,16,0.3235,0.1303,0.2579,0.8616,0.6798,99999,0,70,0.9153,1
38,0.7364,166585,0.3251,9,0.3235,0.1358,0.149,0.8616,0.3202,0,0,40,0.9153,0
50,0.7364,204838,0.3251,9,0.1372,0.1358,0.1041,0.8616,0.3202,0,0,38,0.9153,0
24,0.7364,153583,0.2159,10,0.3235,0.1187,0.149,0.8616,0.3202,0,0,40,0.9153,0
41,0.0664,247082,0.0533,14,0.468,0.1303,0.4152,0.8616,0.6798,0,0,40,0.9153,1
45,0.7364,34307,0.165,13,0.1372,0.1303,0.1041,0.8616,0.3202,0,0,40,0.9153,0
22,0.7364,554317,0.0155,5,0.0112,0.1046,0.027,0.8616,0.6798,0,0,35,0.0219,0
19,0.7364,166153,0.2159,10,0.3235,0.1046,0.149,0.8616,0.3202,0,0,30,0.9153,0
31,0.0408,203488,0.2159,10,0.3235,0.0441,0.2579,0.8616,0.6798,0,0,40,0.9153,0
40,0.0874,198953,0.0349,12,0.3235,0.1303,0.149,0.092,0.3202,0,0,2,0.9153,0
36,0.7364,103323,0.0349,12,0.468,0.066,0.4152,0.8616,0.6798,2829,0,40,0.9153,0
58,0.7364,235624,0.0459,11,0.468,0.1358,0.4152,0.8616,0.6798,0,0,40,0.0043,1
40,0.7364,133456,0.3251,9,0.468,0.1187,0.027,0.8616,0.3202,0,0,24,0.9153,1
27,0.0408,122660,0.165,13,0.3235,0.1303,0.149,0.092,0.3202,0,0,40,0.9153,0
39,0.7364,49020,0.0533,14,0.3235,0.1358,0.2579,0.8616,0.6798,0,1974,40,0.9153,0
45,0.7364,186410,0.2159,10,0.1372,0.12,0.2579,0.8616,0.6798,0,0,38,0.9153,0
52,0.7364,55608,0.0063,2,0.468,0.066,0.4152,0.8616,0.6798,0,0,40,0.0219,0
25,0.7364,190350,0.0264,6,0.468,0.1046,0.149,0.8616,0.3202,0,0,35,0.9153,0
50,0.0367,235307,0.0349,12,0.468,0.1303,0.4152,0.8616,0.6798,0,0,48,0.9153,1
45,0.7364,67716,0.3251,9,0.3235,0.1355,0.149,0.8616,0.6798,10520,0,48,0.9153,1
17,0.7364,151141,0.0135,8,0.3235,0.1187,0.149,0.8616,0.6798,0,0,20,0.9153,0
66,0.0664,157942,0.3251,9,0.026,0.0531,0.2579,0.092,0.3202,0,0,40,0.9153,0
48,0.7364,47686,0.0352,7,0.468,0.1046,0.0468,0.8616,0.3202,0,0,40,0.9153,0
18,0.7364,173585,0.3251,9,0.3235,0.1187,0.149,0.092,0.3202,0,0,18,0.9153,0
39,0.7364,167482,0.3251,9,0.468,0.1046,0.4152,0.8616,0.6798,0,0,60,0.9153,1
29,0.7364,185019,0.0135,8,0.3235,0.1046,0.2579,0.0087,0.6798,0,0,40,0.9153,0
42,0.0408,345969,0.165,13,0.468,0.1358,0.4152,0.8616,0.6798,0,0,48,0.9153,1
40,0.0874,171615,0.2159,10,0.3235,0.1355,0.2579,0.8616,0.6798,0,0,35,0.9153,1
20,0.7364,143604,0.2159,10,0.3235,0.1187,0.1041,0.8616,0.3202,0,0,2,0.9153,0
39,0.7364,82726,0.2159,10,0.468,0.1187,0.0468,0.8616,0.3202,0,0,40,0.9153,0
34,0.7364,123429,0.2159,10,0.468,0.12,0.4152,0.8616,0.6798,0,0,60,0.9153,0
20,0.7364,201729,0.2159,10,0.3235,0.0215,0.149,0.8616,0.6798,0,0,33,0.9153,0
56,0.7364,157749,0.2159,10,0.468,0.0339,0.4152,0.8616,0.6798,0,0,60,0.9153,1
23,0.7364,182117,0.2159,10,0.3235,0.12,0.149,0.8616,0.6798,0,0,40,0.9153,0
35,0.7364,181020,0.3251,9,0.3235,0.0441,0.149,0.8616,0.6798,0,0,60,0.9153,0
33,0.7364,117983,0.3251,9,0.3235,0.12,0.2579,0.8616,0.3202,0,0,41,0.9153,0
48,0.7364,149210,0.3251,9,0.033,0.1355,0.1041,0.092,0.6798,0,0,45,0.9153,0
32,0.7364,177675,0.3251,9,0.3235,0.1355,0.149,0.8616,0.6798,0,0,40,0.9153,0
59,0.7364,189721,0.165,13,0.468,0.0441,0.4152,0.8616,0.6798,0,0,40,0.0023,1
41,0.7364,283174,0.165,13,0.468,0.1355,0.4152,0.8616,0.6798,99999,0,40,0.9153,1
17,0.7364,114798,0.0264,6,0.3235,0.1046,0.149,0.8616,0.3202,0,0,20,0.9153,0
50,0.7364,99185,0.3251,9,0.3235,0.12,0.2579,0.8616,0.6798,0,0,40,0.9153,0
29,0.0874,109001,0.2159,10,0.468,0.1355,0.4152,0.8616,0.6798,0,0,35,0.9153,0
46,0.0367,218890,0.3251,9,0.1372,0.1046,0.2579,0.8616,0.3202,0,0,60,0.9153,0
30,0.7364,59496,0.2159,10,0.468,0.0531,0.4152,0.8616,0.6798,0,0,40,0.9153,0
58,0.7364,112945,0.0459,11,0.468,0.1358,0.4152,0.8616,0.6798,0,0,40,0.9153,0
17,0.7364,207791,0.0264,6,0.3235,0.0441,0.149,0.8616,0.6798,0,0,20,0.9153,0
66,0.7364,169435,0.3251,9,0.026,0.1355,0.2579,0.8616,0.6798,0,0,16,0.9153,0
24,0.0874,277700,0.2159,10,0.033,0.0441,0.149,0.8616,0.6798,0,0,45,0.9153,0
33,0.7364,209900,0.2159,10,0.3235,0.0322,0.149,0.8616,0.6798,0,0,20,0.9153,0
40,0.0367,191429,0.0175,15,0.468,0.1303,0.4152,0.8616,0.6798,15024,0,40,0.9153,1
25,0.7364,118088,0.3251,9,0.3235,0.1355,0.1041,0.8616,0.6798,0,0,40,0.9153,0
35,0.7364,281982,0.3251,9,0.468,0.12,0.4152,0.8616,0.6798,0,0,40,0.9153,0
49,0.7364,32212,0.3251,9,0.468,0.1358,0.0468,0.8616,0.3202,0,0,43,0.9153,0
33,0.0874,24504,0.2159,10,0.468,0.1355,0.4152,0.8616,0.6798,0,0,60,0.9153,0
43,0.7364,188199,0.0155,5,0.1372,0.0441,0.1041,0.8616,0.3202,0,0,40,0.9153,0
27,0.0408,41115,0.2159,10,0.468,0.1355,0.4152,0.092,0.6798,0,0,40,0.9153,0
34,0.0874,87209,0.0533,14,0.468,0.0339,0.4152,0.8616,0.6798,0,0,60,0.9153,0
