V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
53,3,1,0,0,104,0,1,2,26,6,701,0,-1,0,3,1
45,6,1,2,0,-312,0,0,1,9,9,46,29,-1,0,3,0
61,9,1,0,0,2282,0,0,0,17,9,1092,0,-1,0,3,0
48,4,1,3,0,375,0,0,0,20,4,290,22,-1,0,3,0
29,9,2,1,0,1165,0,0,0,11,6,245,0,-1,0,3,1
34,9,1,1,1,91,0,0,0,21,1,67,29,-1,0,3,0
35,6,1,1,0,188,1,1,2,26,6,1865,11,-1,0,3,1
43,7,1,1,0,861,1,0,2,30,6,78,0,-1,0,3,0
30,7,1,1,0,249,1,0,0,8,0,294,0,275,12,0,0
58,5,1,1,0,413,0,0,0,19,1,104,30,-1,0,3,0
54,6,1,3,0,204,0,0,0,19,1,231,30,-1,0,3,0
27,0,2,1,0,1492,1,0,2,15,8,67,4,-1,0,3,0
45,4,1,2,0,3857,1,0,0,2,1,425,11,190,1,0,0
50,9,1,2,0,329,0,0,0,10,1,329,29,-1,0,3,0
49,0,1,1,0,326,1,0,2,28,8,99,11,-1,0,3,0
28,1,2,2,0,1984,1,0,0,25,8,32,11,14,1,0,0
34,9,1,1,0,256,1,0,0,3,1,201,11,267,1,0,0
33,0,2,2,0,193,0,0,2,26,8,132,11,-1,0,3,0
36,10,1,1,0,-129,1,0,0,21,5,121,22,-1,0,3,0
27,0,2,1,0,691,1,0,2,22,6,418,11,-1,0,3,0
40,5,2,1,0,1734,1,0,2,22,6,123,29,-1,0,3,0
34,1,1,1,0,563,0,1,0,22,3,150,11,-1,0,3,0
47,1,1,1,0,303,0,0,2,2,6,261,0,-1,0,3,0
40,1,1,1,0,1313,0,0,2,5,8,87,0,-1,0,3,0
56,1,2,1,0,6483,1,0,0,7,0,125,11,-1,0,3,0
60,4,1,2,0,73,0,0,1,29,1,243,11,-1,0,3,1
47,0,1,3,0,0,1,0,2,28,8,164,0,-1,0,3,0
54,4,1,1,0,4816,0,1,0,30,5,406,0,-1,0,3,0
31,8,2,2,0,117,1,0,1,9,5,41,0,-1,0,3,0
52,4,2,2,0,37,0,0,0,28,5,1284,0,-1,0,3,0
24,8,2,1,0,431,0,0,0,10,1,418,2,185,26,2,1
30,7,1,1,0,5,0,1,0,1,5,829,30,-1,0,3,1
46,1,1,0,0,-339,1,1,0,2,8,182,11,-1,0,3,0
45,0,1,1,0,171,1,0,2,3,8,539,0,-1,0,3,0
40,8,2,1,0,595,1,0,0,22,6,406,11,-1,0,3,1
32,0,1,1,0,684,1,0,0,5,8,607,22,-1,0,3,1
26,7,1,1,0,4,1,0,0,20,5,201,11,-1,0,3,0
35,9,1,2,0,0,1,1,0,18,0,135,22,363,12,0,0
53,2,1,1,0,230,1,0,0,25,3,56,11,250,1,1,0
49,4,1,2,0,108,0,0,0,18,1,210,32,-1,0,3,0
52,1,1,0,0,0,0,0,0,2,1,179,29,-1,0,3,0
41,9,2,2,0,15302,0,0,0,10,1,121,29,-1,0,3,0
57,0,1,1,0,4168,1,1,2,7,8,47,0,-1,0,3,0
51,1,1,0,0,48,0,1,2,8,6,130,0,-1,0,3,0
31,7,2,1,0,166,1,0,0,2,8,227,0,-1,0,3,0
36,4,1,2,0,11675,1,0,0,12,9,48,0,-1,0,3,0
35,5,1,0,0,329,0,1,0,29,5,520,22,-1,0,3,0
49,1,1,0,0,154,1,0,0,9,1,26,6,-1,0,3,0
35,2,1,2,0,7962,1,0,0,30,0,275,11,140,12,0,0
31,4,1,1,0,466,1,0,0,5,8,164,0,-1,0,3,0
37,1,1,3,0,969,1,0,0,5,8,343,11,-1,0,3,0
32,9,1,2,0,2976,1,0,0,26,3,783,0,175,26,0,1
41,0,1,1,0,4320,1,0,2,26,6,245,11,-1,0,3,0
30,9,2,2,0,880,1,1,2,10,8,967,32,-1,0,3,1
36,6,1,1,0,1245,1,0,0,30,3,8,33,248,32,2,0
33,1,1,1,0,315,0,0,0,25,3,146,22,-1,0,3,1
51,9,2,1,0,1153,1,0,0,12,0,76,30,-1,0,3,0
32,4,2,2,0,0,0,0,0,21,1,63,11,-1,0,3,0
40,1,1,0,0,442,1,0,0,0,0,212,0,-1,0,3,0
43,4,2,2,0,483,0,0,0,10,1,950,32,-1,0,3,1
34,1,1,0,0,695,1,1,2,7,8,1064,29,-1,0,3,1
40,3,1,1,0,84,1,1,2,3,6,230,33,-1,0,3,0
51,1,1,1,0,2007,1,0,0,3,1,1226,22,-1,0,3,1
58,3,0,1,0,0,0,0,0,11,5,478,11,-1,0,3,1
47,7,1,1,0,1315,0,0,0,12,9,329,29,-1,0,3,1
52,4,1,2,0,698,1,0,0,2,5,213,11,-1,0,3,0
53,4,1,2,0,6525,1,0,2,11,6,73,22,-1,0,3,0
32,1,1,1,0,736,1,0,2,15,8,700,22,-1,0,3,0
32,9,1,1,0,0,1,1,0,1,5,428,0,-1,0,3,0
49,9,2,1,0,9131,1,0,0,9,1,532,0,461,26,0,1
57,9,0,0,0,13,1,0,0,29,8,323,11,368,12,0,0
38,4,1,2,0,14352,0,0,2,27,11,8,0,-1,0,3,0
32,9,1,1,0,-410,1,1,0,3,8,179,22,-1,0,3,0
20,8,1,3,0,292,0,0,0,25,8,45,0,-1,0,3,0
32,0,0,1,0,298,1,0,0,30,3,12,29,-1,0,3,0
33,4,1,2,0,3915,0,0,0,28,1,65,29,-1,0,3,0
30,8,2,3,0,145,0,0,0,26,3,96,22,175,1,0,0
37,2,1,2,0,264,1,1,2,7,6,220,0,-1,0,3,0
34,9,1,1,0,0,1,0,0,17,5,141,22,-1,0,3,0
32,0,2,1,0,289,0,0,2,6,8,255,3,-1,0,3,0
36,4,1,2,0,82,0,0,0,11,3,124,0,178,25,2,0
49,0,0,1,0,560,1,0,0,17,5,85,22,-1,0,3,0
49,9,1,1,1,410,0,0,0,19,1,117,33,-1,0,3,0
53,0,0,1,0,887,1,0,2,4,8,169,11,-1,0,3,0
53,4,0,2,0,6649,1,0,0,28,5,83,0,-1,0,3,0
56,9,0,1,0,3450,0,0,0,1,1,507,0,181,12,2,1
50,1,1,1,0,3988,0,0,2,23,6,165,29,-1,0,3,0
31,10,2,0,0,1,0,0,0,11,3,19,32,-1,0,3,0
75,5,1,0,0,962,0,0,0,8,6,344,0,-1,0,3,0
34,4,1,2,0,158,0,0,0,30,11,278,11,132,25,0,1
56,5,0,1,0,-82,0,1,0,21,5,234,32,-1,0,3,0
56,4,2,2,0,545,1,0,0,21,4,86,0,-1,0,3,0
44,9,2,1,0,59,1,0,0,9,8,9,29,341,11,0,0
38,7,1,1,0,434,1,0,2,12,8,411,0,-1,0,3,0
51,9,0,0,0,300,0,1,0,26,3,8,32,-1,0,3,0
42,4,2,2,0,1206,0,0,2,30,6,136,29,-1,0,3,0
37,4,1,2,0,784,1,0,0,30,3,41,22,-1,0,3,0
26,1,1,1,0,245,1,0,2,20,8,146,11,-1,0,3,0
43,1,1,1,0,1035,0,0,0,20,4,122,0,-1,0,3,0
31,4,2,2,0,1475,1,1,2,11,6,76,0,-1,0,3,0
36,9,1,2,0,341,0,0,0,3,3,419,11,183,1,2,1
46,4,1,2,0,2671,0,0,0,4,9,180,22,91,25,2,0
27,4,2,2,0,6791,0,0,0,16,6,136,30,94,24,0,0
37,4,0,2,0,199,1,0,2,9,10,50,0,-1,0,3,0
36,4,1,2,0,699,0,0,0,15,5,125,0,-1,0,3,0
27,2,1,2,0,-23,0,0,0,1,5,123,29,-1,0,3,0
41,9,1,1,0,2185,1,0,0,28,0,157,29,309,25,1,0
44,4,1,2,0,318,0,0,0,9,9,638,11,-1,0,3,0
32,4,2,2,0,715,0,0,0,2,1,159,0,-1,0,3,0
24,8,2,1,0,1684,0,0,0,27,0,112,29,-1,0,3,0
60,3,1,3,0,10285,0,0,2,27,6,174,11,-1,0,3,0
31,9,2,1,0,147,1,0,2,28,8,374,0,-1,0,3,0
57,4,0,2,0,909,1,0,0,17,5,147,11,-1,0,3,0
34,1,2,1,0,3043,1,1,0,12,9,670,0,-1,0,3,1
31,4,1,2,0,430,1,0,0,17,5,137,7,-1,0,3,0
46,1,1,0,0,1,1,1,1,1,5,270,33,-1,0,3,0
44,4,1,2,0,4119,1,1,1,13,9,1074,0,-1,0,3,1
35,4,1,2,0,-126,0,0,0,14,1,82,11,-1,0,3,0
30,9,1,1,0,-287,1,0,0,5,5,244,22,-1,0,3,0
37,9,1,1,0,1142,1,0,0,8,5,309,11,-1,0,3,0
42,4,1,2,0,72,1,0,0,12,0,124,11,348,23,0,0
33,7,1,1,0,-52,1,0,0,9,8,278,0,-1,0,3,0
50,3,1,0,0,238,0,0,0,19,1,968,30,-1,0,3,0
41,0,0,1,0,261,1,0,0,21,5,797,6,-1,0,3,0
41,0,1,1,0,8238,1,1,2,23,8,124,29,-1,0,3,0
45,0,1,0,0,-407,1,1,0,21,4,503,11,224,10,1,0
30,9,2,1,0,3,0,0,0,20,1,21,32,-1,0,3,0
53,4,1,2,0,1624,0,0,0,2,9,166,22,97,30,2,1
29,8,2,2,0,80,1,0,0,6,8,15,30,361,1,0,0
37,4,1,2,0,-9,0,0,0,21,1,168,11,-1,0,3,0
35,7,1,1,0,0,0,0,2,30,6,115,29,-1,0,3,0
59,1,1,0,0,-91,1,0,0,4,8,239,0,369,26,0,0
39,1,1,0,0,3324,0,0,0,30,5,108,0,-1,0,3,0
51,0,1,1,0,42,1,0,0,4,8,80,11,-1,0,3,0
34,4,2,2,0,2159,0,0,2,9,3,386,0,-1,0,3,1
33,1,2,2,0,350,1,0,2,16,6,137,30,-1,0,3,0
52,1,0,0,0,3990,0,0,0,10,9,1548,0,153,1,1,0
30,4,2,2,0,1761,1,0,0,6,8,229,11,294,1,1,0
42,1,1,0,0,784,0,0,0,20,0,428,22,-1,0,3,0
80,5,1,1,0,2354,0,0,1,25,1,199,11,181,23,2,0
25,8,2,3,0,722,0,0,1,13,0,623,11,-1,0,3,1
41,6,1,1,0,713,1,0,2,10,8,78,0,-1,0,3,0
35,1,2,0,0,-631,1,0,0,20,5,124,22,-1,0,3,0
52,1,1,1,0,8180,1,0,0,4,0,81,0,144,1,0,0
37,1,1,1,0,949,1,0,0,6,8,302,0,-1,0,3,0
54,3,0,1,0,1327,0,0,2,26,6,115,11,-1,0,3,0
36,1,2,1,0,767,1,0,0,26,8,62,0,355,12,1,0
26,6,2,1,0,166,1,0,0,7,5,83,11,-1,0,3,0
41,7,2,0,0,5907,1,0,0,28,8,198,0,167,26,0,0
52,9,1,1,0,989,0,0,0,2,1,356,0,-1,0,3,0
44,7,1,1,0,382,0,0,2,26,6,1167,0,-1,0,3,0
48,1,2,1,0,339,0,1,1,5,5,123,29,-1,0,3,0
45,1,1,3,0,-72,1,0,0,2,8,306,0,-1,0,3,0
53,9,1,1,0,529,1,0,0,20,4,558,0,-1,0,3,0
56,6,0,0,0,97,0,1,1,8,9,215,0,-1,0,3,0
48,0,2,1,0,3531,1,0,0,12,0,81,11,287,29,0,0
26,1,2,1,0,5829,0,0,0,15,5,41,11,-1,0,3,0
51,1,1,0,0,2995,1,0,2,2,6,93,11,-1,0,3,0
25,1,2,1,0,158,1,1,0,7,5,231,11,-1,0,3,0
54,9,1,1,0,0,0,0,0,27,9,464,30,192,31,1,1
42,1,2,0,0,1628,1,0,0,26,3,119,0,195,31,2,0
48,10,1,1,0,0,0,0,0,9,1,195,22,-1,0,3,0
28,4,2,2,0,390,0,0,0,21,11,845,0,232,25,2,1
55,5,1,1,0,1279,1,0,0,4,8,446,22,357,31,1,0
32,1,1,1,0,1484,1,0,2,23,8,363,33,-1,0,3,0
48,1,2,1,0,312,1,1,0,22,3,369,11,-1,0,3,0
61,5,1,1,0,1058,0,0,0,19,0,159,22,-1,0,3,1
38,7,1,0,0,0,1,1,0,28,8,127,0,171,12,1,0
33,9,2,1,0,116,0,1,0,25,1,307,0,-1,0,3,0
61,4,1,2,0,3371,0,0,0,20,11,299,11,-1,0,3,1
36,4,1,2,0,618,0,0,0,22,3,280,11,-1,0,3,0
27,4,1,2,0,1918,0,0,0,30,3,61,0,-1,0,3,0
46,4,1,2,0,4301,1,1,0,9,9,50,0,183,12,0,0
34,9,1,3,0,4053,1,0,2,15,8,123,11,-1,0,3,0
61,5,1,1,0,569,0,0,0,25,1,219,0,-1,0,3,1
49,0,1,1,0,2062,0,0,2,23,6,132,29,-1,0,3,0
30,0,0,1,0,1320,1,1,0,26,8,122,22,362,1,0,0
30,4,2,2,0,1268,0,0,0,7,5,73,29,-1,0,3,0
51,5,1,1,0,509,1,0,0,6,5,121,29,-1,0,3,0
73,5,1,1,0,2850,0,0,0,8,8,157,11,28,26,0,0
40,9,1,1,0,192,0,0,0,28,1,266,11,-1,0,3,0
32,4,1,2,0,-55,1,0,0,18,1,107,29,-1,0,3,0
48,1,1,0,0,680,1,0,2,6,8,387,29,-1,0,3,0
33,4,2,2,0,1410,1,0,0,26,3,8,0,254,26,0,0
50,3,0,1,0,0,0,0,1,4,1,43,0,105,12,0,0
54,3,1,1,0,922,0,0,1,20,4,123,11,-1,0,3,0
33,0,1,1,0,1114,1,0,0,5,5,250,22,-1,0,3,0
37,4,2,1,0,655,0,1,0,25,3,258,32,-1,0,3,0
49,6,1,1,0,1,1,0,2,27,8,260,22,-1,0,3,0
32,3,1,2,0,10,1,0,2,11,6,658,11,-1,0,3,0
27,0,2,1,0,827,1,0,0,25,6,73,0,107,1,0,0
27,1,2,1,0,535,0,0,0,7,9,183,0,94,1,2,1
45,1,1,0,0,487,1,0,0,10,1,110,29,-1,0,3,0
47,9,0,1,0,2836,0,1,0,5,1,10,11,-1,0,3,0
64,4,1,2,0,679,0,0,1,14,0,135,22,-1,0,3,0
45,1,2,1,0,0,1,0,0,7,10,283,0,165,23,0,0
33,1,0,1,0,865,1,0,0,9,8,158,11,-1,0,3,0
33,1,1,1,0,3514,1,0,0,12,9,214,11,184,12,0,0
49,1,0,0,0,380,1,0,2,5,8,349,11,-1,0,3,0
53,1,1,1,0,248,1,0,1,2,8,193,11,-1,0,3,0
47,7,2,1,0,591,0,0,0,21,5,397,0,-1,0,3,0
36,7,1,1,0,380,1,0,2,12,8,26,0,-1,0,3,0
38,9,1,1,0,175,1,0,2,23,8,264,0,-1,0,3,0
59,1,1,1,0,410,1,0,0,11,3,136,0,-1,0,3,0
33,4,2,2,0,3770,0,0,0,20,4,757,11,-1,0,3,0
46,0,0,1,0,1342,1,0,0,25,3,135,0,-1,0,3,0
54,1,2,0,0,-119,1,0,0,4,8,261,0,-1,0,3,0
51,7,1,1,0,53,1,0,2,18,8,140,11,-1,0,3,0
52,4,1,2,0,732,0,0,1,25,3,48,0,-1,0,3,0
43,4,0,2,0,3327,0,0,1,20,1,146,10,-1,0,3,0
55,9,1,1,0,77,1,0,2,15,6,364,11,-1,0,3,0
45,1,1,0,0,85,1,0,2,29,8,162,0,-1,0,3,0
38,0,1,1,0,384,0,0,0,22,3,387,0,-1,0,3,0
27,0,2,2,0,689,0,0,0,18,4,98,0,307,1,0,0
64,5,1,1,0,571,1,0,0,12,0,1422,11,-1,0,3,1
33,1,2,1,0,-14,1,0,0,5,8,223,11,-1,0,3,0
37,7,2,1,0,1050,1,0,0,22,3,586,22,-1,0,3,0
38,2,0,2,0,504,1,0,2,18,8,68,22,-1,0,3,0
54,4,1,2,0,3,0,1,0,29,5,443,0,-1,0,3,0
26,1,1,1,0,246,1,0,2,7,8,1143,22,-1,0,3,1
31,9,2,2,0,-241,1,0,0,9,8,333,11,355,1,0,0
51,0,0,1,0,74,1,0,0,29,8,74,11,287,12,0,0
27,0,2,1,0,464,0,0,0,1,7,103,0,-1,0,3,0
57,10,0,1,0,79,1,0,2,0,7,60,0,592,12,0,0
35,7,1,1,0,17,1,0,0,25,8,110,29,-1,0,3,0
52,4,1,2,0,7192,0,0,0,25,1,1486,0,-1,0,3,1
39,4,1,1,0,11835,1,0,0,2,1,744,11,-1,0,3,1
29,8,1,2,0,149,1,0,2,18,8,367,29,-1,0,3,0
61,5,1,1,0,77,0,0,0,27,1,455,29,-1,0,3,1
28,2,1,1,0,422,1,0,2,10,8,394,11,-1,0,3,0
35,1,1,0,0,2205,1,0,2,23,8,199,22,-1,0,3,0
57,4,1,2,0,1357,1,1,0,9,9,97,11,-1,0,3,0
41,7,1,0,0,4903,1,0,0,9,8,155,0,180,12,0,0
26,0,1,1,0,3160,1,0,2,19,8,154,0,-1,0,3,0
34,0,2,1,0,88,1,0,2,19,8,169,11,-1,0,3,0
51,4,1,0,0,108,0,0,0,9,9,169,11,-1,0,3,0
42,4,1,2,0,7,0,0,0,12,1,582,33,-1,0,3,0
28,0,2,1,0,305,1,0,1,9,5,277,0,-1,0,3,0
32,0,0,1,0,410,1,0,0,5,0,129,0,-1,0,3,0
40,9,2,2,0,431,0,0,0,28,5,180,11,-1,0,3,1
41,3,1,2,0,783,1,0,2,23,8,130,11,-1,0,3,0
36,9,1,1,0,-342,1,0,0,20,5,170,22,-1,0,3,0
38,1,1,0,0,8637,1,0,2,2,6,119,0,-1,0,3,0
29,1,2,1,0,908,1,0,2,12,6,1663,0,-1,0,3,1
37,1,1,3,0,0,1,0,0,13,9,184,0,-1,0,3,0
39,10,0,1,0,507,1,0,2,3,8,150,33,-1,0,3,0
36,4,2,2,0,671,1,0,0,0,11,161,0,457,12,0,0
50,7,1,3,0,1688,0,0,1,21,5,156,11,-1,0,3,0
57,5,0,0,0,515,1,0,2,4,8,288,11,-1,0,3,0
35,0,1,1,0,725,1,0,0,1,5,402,0,-1,0,3,0
31,9,2,2,0,7005,0,0,0,18,1,171,29,-1,0,3,0
40,1,1,0,0,303,0,0,2,23,8,104,32,-1,0,3,0
34,4,1,2,0,5878,0,0,0,21,4,159,33,98,23,2,0
51,3,1,1,0,1270,0,0,0,21,4,208,22,-1,0,3,0
37,4,1,2,0,1125,1,0,2,22,6,301,0,-1,0,3,0
37,0,1,1,0,1193,0,0,0,3,8,396,11,-1,0,3,0
50,1,1,0,0,-141,1,0,2,12,6,61,11,-1,0,3,0
33,0,2,1,0,206,0,0,1,4,9,168,0,-1,0,3,0
42,2,1,1,0,324,1,0,0,6,5,528,22,-1,0,3,0
31,4,2,2,0,363,0,0,0,4,1,94,11,-1,0,3,0
23,7,2,1,0,250,1,0,0,9,8,222,0,-1,0,3,0
45,4,1,0,0,4758,1,0,0,26,8,632,30,287,29,2,0
36,4,1,2,0,4359,0,0,0,24,5,74,32,-1,0,3,0
49,2,1,1,0,273,0,0,0,15,5,58,0,-1,0,3,0
44,10,1,1,0,0,1,0,0,11,3,699,0,272,1,0,1
25,7,1,1,0,10,1,0,0,28,8,51,0,294,1,0,0
36,4,0,2,0,668,1,0,0,26,8,623,0,-1,0,3,0
24,8,2,1,0,228,0,0,0,11,6,154,0,-1,0,3,0
42,1,1,0,0,244,1,0,0,7,0,403,0,-1,0,3,0
47,4,2,2,0,0,0,0,2,2,6,58,22,-1,0,3,0
34,4,1,1,0,-294,1,0,2,19,8,532,11,-1,0,3,0
30,4,1,2,0,1476,1,1,2,22,6,199,29,-1,0,3,0
38,1,1,1,0,422,1,0,0,2,8,286,22,-1,0,3,0
40,3,1,0,0,34,0,0,0,17,1,115,29,-1,0,3,0
34,4,2,2,0,2187,1,0,0,25,8,26,30,-1,0,3,0
47,9,1,1,0,0,0,0,0,10,1,203,11,-1,0,3,0
35,9,2,1,0,920,1,0,0,2,1,159,11,286,29,0,0
46,2,1,2,0,120,0,0,2,8,6,171,29,-1,0,3,0
29,0,2,1,0,873,0,0,0,26,7,41,11,-1,0,3,0
38,0,2,1,0,648,1,0,0,27,3,101,11,-1,0,3,0
45,4,0,2,0,854,0,1,0,29,5,730,0,-1,0,3,1
50,4,1,2,0,230,0,1,0,13,5,149,11,-1,0,3,0
44,3,1,0,0,882,0,0,1,5,1,187,29,-1,0,3,0
51,10,1,1,0,17418,1,0,1,23,4,237,11,-1,0,3,0
26,7,1,1,0,199,0,0,0,16,5,139,32,-1,0,3,0
48,4,1,2,0,7825,0,0,1,13,9,77,30,-1,0,3,0
37,9,2,1,0,18,0,0,2,3,6,361,11,-1,0,3,0
30,4,2,2,0,4,0,0,0,19,1,51,22,-1,0,3,0
56,9,0,2,0,401,1,0,1,12,9,26,0,-1,0,3,0
44,4,0,2,0,3321,0,0,0,4,1,73,22,-1,0,3,0
32,1,1,0,0,289,1,0,2,29,8,23,29,-1,0,3,0
50,2,1,2,0,6825,0,0,0,13,9,24,35,-1,0,3,0
47,3,0,1,0,80,0,0,0,10,1,196,11,-1,0,3,0
54,9,1,1,0,89,1,0,0,1,5,140,22,-1,0,3,0
54,1,1,0,0,1849,0,0,0,3,1,127,29,-1,0,3,0
53,1,1,0,0,256,1,0,2,11,6,202,0,-1,0,3,0
34,7,2,1,0,544,1,0,2,19,8,257,11,-1,0,3,0
56,1,0,1,0,934,0,0,0,21,5,375,11,-1,0,3,0
40,0,2,1,0,576,1,1,0,12,0,114,22,-1,0,3,0
36,7,0,1,0,543,1,0,0,8,0,101,0,269,12,0,0
32,1,1,1,0,316,1,0,0,30,3,14,29,-1,0,3,0
45,4,1,2,0,1847,0,0,2,7,6,77,30,-1,0,3,0
34,9,1,2,0,0,1,0,2,12,8,185,3,-1,0,3,0
49,7,2,1,0,5028,1,0,2,3,8,891,0,-1,0,3,0
30,9,2,2,0,1289,1,0,2,13,8,1697,11,-1,0,3,1
34,1,2,1,0,213,1,0,0,2,8,47,0,343,12,0,0
38,4,2,2,0,0,0,0,0,16,5,164,0,-1,0,3,0
47,9,0,1,0,157,1,0,0,17,1,163,34,-1,0,3,0
47,9,1,1,0,644,0,0,1,20,4,54,22,160,5,0,0
32,9,2,2,0,259,0,0,0,14,5,407,29,-1,0,3,0
41,1,1,0,0,246,0,0,2,10,6,683,22,-1,0,3,1
29,0,2,1,0,731,0,0,0,5,0,107,22,-1,0,3,1
